name	record_va	marker_va	layout	n_methods	n_slots	typeinfo_va
N6MobaAI18CCSUnitDataMonitorE	0x6a89648	0x6a896c0	A	6	11	0x720a800
N6MobaAI20CCSGlobalDataMonitorE	0x6a89758	0x6a897d0	A	6	11	0x720a800
N6MobaAI20CCSGameActionMonitorE	0x6a89868	0x6a898e0	A	6	11	0x720a800
N6MobaAI10StateUtilsE	0x6a89970	0x6a89a00	C	10	16	0x720a800
N6MobaAI11ArtistUtilsE	0x6a89a90	0x6a89b20	C	10	16	0x720a800
N6MobaAI21GameWinPredictMonitorE	0x6a89bb8	0x6a89c30	A	6	11	0x720a800
N11FrameEngine9Interface26FilterEntry_FilterBuffCondE	0x6a89c90	0x6a89d30	E	8	13	0x720a800
N11FrameEngine9Interface26FilterEntry_FilterBuffTypeE	0x6a89d20	0x6a89dc0	E	8	13	0x720a800
N11FrameEngine9Interface22FilterEntry_FilterTagsE	0x6a89db0	0x6a89e50	E	8	13	0x720a800
N11FrameEngine9Interface27FilterEntry_FilterActorCampE	0x6a89e40	0x6a89ee0	E	8	13	0x720a800
N11FrameEngine9Interface32FilterEntry_FilterBuffEffectTypeE	0x6a89ed0	0x6a89f70	E	8	13	0x720a800
N11FrameEngine9Interface17TargetSelection_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a000	0x6a8a090	C	5	16	0x720a800
N11FrameEngine9Interface17TargetSelection_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a090	0x6a8a120	C	4	16	0x720a800
N11FrameEngine9Interface16LinkedSelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a328	0x6a8a3b8	F	9	13	0x720a890
N11FrameEngine9Interface18ScreenEdgeFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a390	0x6a8a420	C	13	16	0x720a800
N11FrameEngine9Interface16LinkedSelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a628	0x6a8a6b8	F	9	13	0x720a890
N11FrameEngine9Interface18ScreenEdgeFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8a690	0x6a8a720	C	13	16	0x720a800
N11FrameEngine9Interface16BuffTypeFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8aa20	0x6a8aab0	C	8	16	0x720a800
N11FrameEngine9Interface16BuffTypeFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8abc0	0x6a8ac50	C	8	16	0x720a800
N11FrameEngine9Interface18PrioritySelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8ae40	0x6a8aed0	C	12	16	0x720a890
N11FrameEngine9Interface18PrioritySelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8aec8	0x6a8af58	F	2	13	0x720a890
N11FrameEngine9Interface18PrioritySelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8af30	0x6a8afc0	C	13	16	0x720a890
N11FrameEngine9Interface18PrioritySelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8afb8	0x6a8b048	F	2	13	0x720a890
N11FrameEngine9Interface14SelfSelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8b4c0	0x6a8b550	C	8	16	0x720a800
N11FrameEngine9Interface14SelfSelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8b660	0x6a8b6f0	C	8	16	0x720a800
N11FrameEngine9Interface17UnitStateFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8b9f0	0x6a8ba80	C	8	16	0x720a800
N11FrameEngine9Interface17UnitStateFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8bb90	0x6a8bc20	C	8	16	0x720a800
N11FrameEngine9Interface15CanKillFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8bf20	0x6a8bfb0	C	8	16	0x720a800
N11FrameEngine9Interface15CanKillFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8c0c0	0x6a8c150	C	8	16	0x720a800
N11FrameEngine9Interface12BuffFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8c450	0x6a8c4e0	C	8	16	0x720a800
N11FrameEngine9Interface12BuffFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8c5f0	0x6a8c680	C	8	16	0x720a800
	0x6a8c890	0x6a8c920	C	12	16	
	0x6a8c940	0x6a8c9d0	C	6	16	
N11FrameEngine9Interface15UnionSelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8ccc0	0x6a8cd50	C	8	16	0x720a800
N11FrameEngine9Interface15UnionSelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8ce60	0x6a8cef0	C	8	16	0x720a800
N11FrameEngine9Interface21ImpliedTargetFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8d1f0	0x6a8d280	C	8	16	0x720a800
N11FrameEngine9Interface21ImpliedTargetFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8d390	0x6a8d420	C	8	16	0x720a800
N11FrameEngine9Interface12IDSelector_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8d7c0	0x6a8d850	C	8	16	0x720a800
N11FrameEngine9Interface12IDSelector_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8d960	0x6a8d9f0	C	8	16	0x720a800
N11FrameEngine9Interface23FocusPointRangeFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8de40	0x6a8ded0	C	8	16	0x720a800
N11FrameEngine9Interface23FocusPointRangeFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8e0e0	0x6a8e170	C	8	16	0x720a800
N11FrameEngine9Interface20AbilityRangeFilter_TINS_5Logic11BattleActorENS0_18SelectionContextExENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8e640	0x6a8e6d0	C	8	16	0x720a800
N11FrameEngine9Interface20AbilityRangeFilter_TINS_5Logic15BattleActorSyncENS0_22SelectionContextExSyncENS0_22MultiPassRemovalList_TIS3_EEEE	0x6a8e8c0	0x6a8e950	C	8	16	0x720a800
N11FrameEngine10DataConfigE	0x6a8e9e8	0x6a8ea60	A	6	11	0x720a800
N11FrameEngine5Logic12MapDataProxyE	0x6a8eac0	0x6a8eb60	E	7	13	0x720a800
N11FrameEngine9Interface22BattleMonsterGrowth_DCE	0x6a8eb80	0x6a8ec00	B	6	11	0x720a800
N11FrameEngine9Interface12BattleMap_DCE	0x6a8ec60	0x6a8ed00	E	7	13	0x720a800
N11FrameEngine9Interface14BattleLevel_DCE	0x6a8ecf0	0x6a8ed90	E	7	13	0x720a800
N11FrameEngine9Interface11BattleEquipE	0x6a8edb8	0x6a8ee30	A	6	11	0x720a800
N11FrameEngine9Interface30BattleEquip_BattleEquipment_DCE	0x6a8ee90	0x6a8ef30	E	7	13	0x720a800
N11FrameEngine9Interface15BattleEquipAttrE	0x6a8ef20	0x6a8efc0	E	7	13	0x720a800
